epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7070.18,0.91596,0.58318,1.03419,0.96465,0.93131,0.97007,0.74915,0.85185,0.41593,0.99697,0.005842,0.005842,0.005842
44,7217.15,0.91114,0.5776,1.03142,0.97196,0.92727,0.97108,0.75014,0.8493,0.41345,0.99498,0.005743,0.005743,0.005743
45,7365.3,0.90784,0.57748,1.03273,0.97137,0.92811,0.97084,0.75056,0.84629,0.41621,0.98935,0.005644,0.005644,0.005644
46,7512.76,0.89555,0.56858,1.02752,0.96253,0.93684,0.97137,0.7543,0.84198,0.41164,0.99118,0.005545,0.005545,0.005545
47,7660.26,0.90544,0.57021,1.03385,0.95504,0.94286,0.97192,0.75435,0.84116,0.40826,0.99171,0.005446,0.005446,0.005446
48,7808.01,0.8925,0.56046,1.02504,0.96529,0.92994,0.97021,0.75924,0.83285,0.40983,0.98564,0.005347,0.005347,0.005347
49,7954.67,0.88262,0.55044,1.0219,0.96126,0.93532,0.97103,0.75853,0.83504,0.40554,0.98978,0.005248,0.005248,0.005248
50,8102.24,0.88489,0.55511,1.02374,0.96211,0.93313,0.97201,0.75885,0.83447,0.40424,0.98794,0.005149,0.005149,0.005149
51,8242.64,0.87791,0.55152,1.01662,0.96073,0.93695,0.97158,0.75831,0.82739,0.40288,0.98587,0.00505,0.00505,0.00505
52,8377.99,0.86919,0.54671,1.01425,0.96265,0.93556,0.97024,0.75871,0.82308,0.40291,0.98504,0.004951,0.004951,0.004951
53,8514.06,0.86656,0.54349,1.01318,0.95531,0.9386,0.97105,0.76101,0.81935,0.40327,0.98117,0.004852,0.004852,0.004852
54,8649.52,0.86308,0.53929,1.01463,0.94973,0.9417,0.97007,0.76078,0.81427,0.40447,0.97838,0.004753,0.004753,0.004753
55,8784.47,0.85734,0.53507,1.01408,0.9556,0.93617,0.97006,0.76089,0.81493,0.40015,0.98047,0.004654,0.004654,0.004654
56,8920.13,0.8506,0.52987,1.01012,0.95687,0.93556,0.97001,0.75971,0.81739,0.39509,0.98325,0.004555,0.004555,0.004555
57,9055.85,0.84544,0.52248,1.00419,0.95722,0.93853,0.96928,0.76168,0.81692,0.39362,0.98396,0.004456,0.004456,0.004456
58,9194.86,0.84498,0.52559,1.00674,0.96024,0.93678,0.96922,0.76295,0.81688,0.39379,0.98439,0.004357,0.004357,0.004357
59,9329.68,0.8283,0.51618,0.99824,0.97064,0.92461,0.9701,0.76395,0.8147,0.39382,0.982,0.004258,0.004258,0.004258
60,9464.57,0.82643,0.51491,0.99568,0.97128,0.9253,0.96947,0.76338,0.81379,0.39173,0.98081,0.004159,0.004159,0.004159
61,9599.71,0.82712,0.51137,0.99976,0.95961,0.93617,0.97004,0.76536,0.81353,0.39266,0.98066,0.00406,0.00406,0.00406
62,9733.87,0.82027,0.50661,0.99676,0.96842,0.93219,0.97022,0.76585,0.81574,0.39318,0.98249,0.003961,0.003961,0.003961
63,9868.43,0.82167,0.50939,0.99355,0.9626,0.93879,0.9705,0.76457,0.81569,0.39272,0.98347,0.003862,0.003862,0.003862
64,10003.4,0.81525,0.49883,0.99306,0.96204,0.93984,0.97091,0.76533,0.81268,0.39186,0.98089,0.003763,0.003763,0.003763
65,10138.5,0.81122,0.49294,0.99136,0.9621,0.94143,0.97143,0.7644,0.81301,0.39208,0.98089,0.003664,0.003664,0.003664
66,10273,0.80439,0.48957,0.98908,0.96023,0.93939,0.97143,0.76524,0.81191,0.39208,0.97993,0.003565,0.003565,0.003565
67,10407.5,0.80102,0.49329,0.98959,0.96033,0.93921,0.97154,0.7647,0.81145,0.39119,0.97952,0.003466,0.003466,0.003466
68,10542.3,0.79214,0.48179,0.98363,0.9602,0.93865,0.97171,0.76402,0.81224,0.39044,0.98026,0.003367,0.003367,0.003367
69,10677.4,0.78655,0.47702,0.9826,0.95961,0.93921,0.97209,0.76428,0.81267,0.38893,0.98038,0.003268,0.003268,0.003268
70,10812.2,0.78221,0.47618,0.98044,0.95967,0.93921,0.97178,0.76465,0.81171,0.38883,0.97992,0.003169,0.003169,0.003169
71,10947,0.77934,0.4702,0.97753,0.95896,0.94225,0.97164,0.76457,0.81109,0.38668,0.97985,0.00307,0.00307,0.00307
72,11081,0.77178,0.47637,0.97908,0.95802,0.94337,0.97148,0.76515,0.8117,0.38574,0.98045,0.002971,0.002971,0.002971
73,11214.7,0.77603,0.46642,0.97388,0.95644,0.94286,0.97087,0.76611,0.81154,0.38449,0.98021,0.002872,0.002872,0.002872
74,11348,0.76364,0.46379,0.9748,0.95643,0.94347,0.97069,0.76558,0.81142,0.38366,0.98054,0.002773,0.002773,0.002773
75,11481.7,0.75996,0.45785,0.9769,0.95794,0.9415,0.97082,0.76785,0.81185,0.38312,0.98062,0.002674,0.002674,0.002674
76,11615.5,0.75393,0.45196,0.96955,0.95731,0.94053,0.97095,0.7665,0.80992,0.38295,0.97885,0.002575,0.002575,0.002575
77,11749.3,0.75177,0.45274,0.96551,0.95562,0.94286,0.97082,0.76671,0.80943,0.38197,0.97881,0.002476,0.002476,0.002476
78,11883.7,0.74578,0.44571,0.96745,0.96655,0.92948,0.97077,0.76703,0.80899,0.38152,0.97848,0.002377,0.002377,0.002377
79,12017.4,0.73864,0.44621,0.96229,0.95225,0.94567,0.97065,0.76692,0.80924,0.38166,0.9784,0.002278,0.002278,0.002278
80,12151,0.73386,0.44028,0.96051,0.95172,0.94666,0.97074,0.76676,0.8094,0.38136,0.97872,0.002179,0.002179,0.002179
81,12284.7,0.7363,0.44013,0.96452,0.95274,0.94468,0.97024,0.76695,0.80909,0.38147,0.97874,0.00208,0.00208,0.00208
82,12418.2,0.72752,0.4364,0.95985,0.95111,0.94609,0.96975,0.76675,0.80893,0.38119,0.9789,0.001981,0.001981,0.001981
83,12551.1,0.72067,0.43204,0.95423,0.95058,0.94711,0.9701,0.76724,0.80831,0.38018,0.97903,0.001882,0.001882,0.001882
84,12685.4,0.71559,0.4279,0.95417,0.94937,0.94772,0.97006,0.76679,0.80892,0.37972,0.97938,0.001783,0.001783,0.001783
85,12819.4,0.70674,0.4221,0.9522,0.9489,0.94832,0.97023,0.76722,0.80912,0.37915,0.97969,0.001684,0.001684,0.001684
86,12953,0.70715,0.41889,0.95151,0.9619,0.93556,0.97039,0.76726,0.80879,0.37842,0.9798,0.001585,0.001585,0.001585
87,13086.5,0.70862,0.41645,0.95038,0.95979,0.93739,0.97058,0.76852,0.80886,0.3775,0.98008,0.001486,0.001486,0.001486
88,13221.3,0.69972,0.41397,0.94957,0.96014,0.93711,0.97029,0.76857,0.80902,0.37722,0.9805,0.001387,0.001387,0.001387
89,13356,0.69333,0.41154,0.9496,0.95992,0.93739,0.97028,0.76935,0.80923,0.37728,0.98071,0.001288,0.001288,0.001288
90,13489.9,0.68996,0.40782,0.94383,0.95943,0.93739,0.97075,0.76857,0.80909,0.37678,0.9808,0.001189,0.001189,0.001189
91,13648.4,0.56861,0.29071,0.85038,0.96076,0.93757,0.9709,0.76895,0.80915,0.37612,0.98088,0.00109,0.00109,0.00109
92,13782.5,0.55599,0.281,0.84484,0.96134,0.9373,0.97089,0.76933,0.80892,0.37614,0.98087,0.000991,0.000991,0.000991
93,13915.8,0.54598,0.27678,0.84453,0.96135,0.93737,0.97096,0.76896,0.80883,0.37579,0.98091,0.000892,0.000892,0.000892
94,14048.7,0.54165,0.27273,0.84002,0.96071,0.93652,0.97097,0.76928,0.80875,0.37517,0.98111,0.000793,0.000793,0.000793
95,14182.9,0.5338,0.26796,0.84004,0.96309,0.93574,0.971,0.76906,0.80877,0.37507,0.98145,0.000694,0.000694,0.000694
96,14316.5,0.52772,0.26485,0.83958,0.96071,0.93739,0.97119,0.76925,0.80942,0.3753,0.98215,0.000595,0.000595,0.000595
97,14450.5,0.52167,0.26291,0.83585,0.95951,0.93739,0.97137,0.769,0.80969,0.37498,0.98313,0.000496,0.000496,0.000496
98,14585.5,0.51691,0.25877,0.83516,0.95896,0.93745,0.97146,0.76929,0.80943,0.37459,0.98392,0.000397,0.000397,0.000397
99,14718.9,0.51382,0.25596,0.83433,0.95952,0.93664,0.97112,0.76905,0.80941,0.37462,0.9845,0.000298,0.000298,0.000298
100,14852.4,0.50765,0.25165,0.8308,0.95952,0.93672,0.9712,0.76909,0.80904,0.37427,0.98435,0.000199,0.000199,0.000199
